,Date,Value
253,10/1/20,6394068
254,10/2/20,6473544
255,10/3/20,6549373
256,10/4/20,6623815
257,10/5/20,6685082
258,10/6/20,6757131
259,10/7/20,6835655
260,10/8/20,6906151
261,10/9/20,6979423
262,10/10/20,7053806
263,10/11/20,7120538
264,10/12/20,7175880
265,10/13/20,7239389
266,10/14/20,7307097
267,10/15/20,7370468
268,10/16/20,7432680
269,10/17/20,7494551
270,10/18/20,7550273
271,10/19/20,7597063
272,10/20/20,7651107
273,10/21/20,7706946
274,10/22/20,7761312
275,10/23/20,7814682
276,10/24/20,7864811
277,10/25/20,7909959
278,10/26/20,7946429
279,10/27/20,7990322
280,10/28/20,8040203
281,10/29/20,8088851
282,10/30/20,8137119
283,10/31/20,8184082
284,11/1/20,8229313
285,11/2/20,8267623
286,11/3/20,8313876
287,11/4/20,8364086
288,11/5/20,8411724
289,11/6/20,8462080
290,11/7/20,8507754
291,11/8/20,8553657
292,11/9/20,8591730
293,11/10/20,8636011
294,11/11/20,8683916
295,11/12/20,8728795
296,11/13/20,8773479
297,11/14/20,8814579
298,11/15/20,8845127
299,11/16/20,8874290
300,11/17/20,8912907
301,11/18/20,8958483
302,11/19/20,9004365
303,11/20/20,9050597
304,11/21/20,9095806
305,11/22/20,9139865
306,11/23/20,9177840
307,11/24/20,9222216
308,11/25/20,9266705
309,11/26/20,9309787
310,11/27/20,9351109
311,11/28/20,9392919
312,11/29/20,9431691
313,11/30/20,9462809
314,12/1/20,9499413
315,12/2/20,9534964
316,12/3/20,9571559
317,12/4/20,9608211
318,12/5/20,9644222
319,12/6/20,9677203
320,12/7/20,9703770
321,12/8/20,9735850
322,12/9/20,9767371
323,12/10/20,9796744
324,12/11/20,9826775
325,12/12/20,9857029
326,12/13/20,9884100
327,12/14/20,9906165
328,12/15/20,9932547
329,12/16/20,9956557
330,12/17/20,9979447
331,12/18/20,10004599
332,12/19/20,10031223
333,12/20/20,10055560
334,12/21/20,10075116
335,12/22/20,10099066
336,12/23/20,10123778
337,12/24/20,10146845
338,12/25/20,10169118
339,12/26/20,10187850
340,12/27/20,10207871
341,12/28/20,10224303
342,12/29/20,10244852
343,12/30/20,10266674
344,12/31/20,10286709
345,1/1/21,10305788
346,1/2/21,10323965
347,1/3/21,10340469
348,1/4/21,10356844
349,1/5/21,10374932
350,1/6/21,10395278
351,1/7/21,10413417
352,1/8/21,10413417
353,1/9/21,10450284
354,1/10/21,10466595
355,1/11/21,10479179
356,1/12/21,10495147
357,1/13/21,10512093
358,1/14/21,10527683
359,1/15/21,10542841
360,1/16/21,10557985
361,1/17/21,10571773
362,1/18/21,10581823
363,1/19/21,10595639
364,1/20/21,10610883
365,1/21/21,10625428
366,1/22/21,10639684
367,1/23/21,10654533
368,1/24/21,10667736
369,1/25/21,10676838
370,1/26/21,10689527
371,1/27/21,10701193
372,1/28/21,10720048
373,1/29/21,10733130
374,1/30/21,10746174
375,1/31/21,10757610
376,2/1/21,10766245
377,2/2/21,10777284
378,2/3/21,10790183
379,2/4/21,10802591
380,2/5/21,10814304
381,2/6/21,10826363
382,2/7/21,10838194
383,2/8/21,10847304
384,2/9/21,10858371
385,2/10/21,10871294
386,2/11/21,10880603
387,2/12/21,10892746
388,2/13/21,10904940
389,2/14/21,10916589
390,2/15/21,10925710
391,2/16/21,10937320
392,2/17/21,10950201
393,2/18/21,10963394
394,2/19/21,10977387
395,2/20/21,10991651
396,2/21/21,11005850
397,2/22/21,11016434
398,2/23/21,11030176
399,2/24/21,11046914
400,2/25/21,11063491
401,2/26/21,11079979
402,2/27/21,11096731
403,2/28/21,11112241
404,3/1/21,11124527
405,3/2/21,11139516
406,3/3/21,11156923
407,3/4/21,11173761
408,3/5/21,11192045
409,3/6/21,11210799
410,3/7/21,11229398
411,3/8/21,11244786
412,3/9/21,11262707
413,3/10/21,11285561
414,3/11/21,11308846
415,3/12/21,11333728
416,3/13/21,11359048
417,3/14/21,11385339
418,3/15/21,11409831
419,3/16/21,11438734
420,3/17/21,11474605
421,3/18/21,11514331
422,3/19/21,11555284
423,3/20/21,11599130
424,3/21/21,11646081
425,3/22/21,11686796
426,3/23/21,11734058
427,3/24/21,11787534
428,3/25/21,11846652
429,3/26/21,11908910
430,3/27/21,11971624
431,3/28/21,12039644
432,3/29/21,12095855
433,3/30/21,12149335
434,3/31/21,12221665
435,4/1/21,12303131
436,4/2/21,12392260
437,4/3/21,12485509
438,4/4/21,12589067
439,4/5/21,12686049
440,4/6/21,12801785
441,4/7/21,12928574
442,4/8/21,13060542
443,4/9/21,13205926
444,4/10/21,13358805
445,4/11/21,13527717
446,4/12/21,13689453
447,4/13/21,13873825
448,4/14/21,14074564
449,4/15/21,14291917
450,4/16/21,14526609
451,4/17/21,14788003
452,4/18/21,15061805
453,4/19/21,15320972
454,4/20/21,15616130
455,4/21/21,15930774
456,4/22/21,16263695
457,4/23/21,16610481
458,4/24/21,16960172
459,4/25/21,17313163
460,4/26/21,17636186
461,4/27/21,17997113
462,4/28/21,18376421
463,4/29/21,18762976
464,4/30/21,19164969
465,5/1/21,19557457
466,5/2/21,19925517
467,5/3/21,20282833
468,5/4/21,20664979
469,5/5/21,21077410
470,5/6/21,21491598
471,5/7/21,21892676
472,5/8/21,22296081
473,5/9/21,22662575
474,5/10/21,22992517
475,5/11/21,23340938
476,5/12/21,23703665
477,5/13/21,24046809
478,5/14/21,24372907
479,5/15/21,24684077
480,5/16/21,24965463
481,5/17/21,25228996
482,5/18/21,25496330
483,5/19/21,25772440
484,5/20/21,26031991
485,5/21/21,26289290
